"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"623","016740","두올",2810,-10,-0.35,492,5.71,NA,NA,5970,0.47,80,2.85
"624","073190","듀오백",2135,-55,-2.51,NA,NA,NA,NA,2193,0.97,0,0
"625","030350","드래곤플라이",752,-19,-2.46,NA,NA,NA,NA,1200,0.63,0,0
"626","203650","드림시큐리티",3485,-5,-0.14,258,13.51,NA,NA,1460,2.39,0,0
"627","223250","드림씨아이에스",11450,-40,-0.35,575,19.91,NA,NA,6957,1.65,0,0
"628","060570","드림어스컴퍼니",3515,-115,-3.17,NA,NA,NA,NA,1138,3.09,0,0
"629","192650","드림텍",10580,-70,-0.66,1071,9.88,NA,NA,5263,2.01,300,2.84
"630","217620","디딤이앤에프",1273,-37,-2.82,NA,NA,NA,NA,234,5.44,0,0
"631","016670","디모아",477,-15,-3.05,40,11.93,NA,NA,701,0.68,0,0
"632","187870","디바이스이엔지",17000,90,0.53,4526,3.76,2562,6.64,18620,0.91,450,2.65
"633","066670","디스플레이텍",6630,-210,-3.07,344,19.27,NA,NA,9731,0.68,80,1.21
"634","024090","디씨엠",14530,-140,-0.95,5524,2.63,NA,NA,25636,0.57,900,6.19
"635","003160","디아이",5060,-110,-2.13,592,8.55,NA,NA,5534,0.91,200,3.95
"636","092200","디아이씨",3895,-25,-0.64,753,5.17,NA,NA,2400,1.62,0,0
"637","110990","디아이티",7900,-70,-0.88,NA,NA,NA,NA,9224,0.86,0,0
"638","078590","디아크",2380,0,0,NA,NA,NA,NA,201,11.84,0,0
"639","263690","디알젬",11540,130,1.14,1123,10.28,NA,NA,5527,2.09,140,1.21
"640","214680","디알텍",2315,20,0.87,74,31.28,NA,NA,779,2.97,0,0
"641","263720","디앤씨미디어",20450,-350,-1.68,1271,16.09,NA,NA,5615,3.64,0,0
"642","376300","디어유",43100,-2450,-5.38,NA,NA,1472,29.29,5623,7.66,0,0
"643","141020","디에스앤엘",1331,0,0,NA,NA,NA,NA,5041,0.26,0,0
"644","109740","디에스케이",6420,140,2.23,NA,NA,NA,NA,5255,1.22,0,0
"645","196490","디에이테크놀로지",3670,280,8.26,NA,NA,NA,NA,3887,0.94,0,0
"646","066900","디에이피",2990,-45,-1.48,463,6.46,NA,NA,6501,0.46,0,0
"647","127120","디엔에이링크",3880,200,5.43,NA,NA,NA,NA,1999,1.94,0,0
"648","092070","디엔에프",15100,-450,-2.89,1083,13.94,NA,NA,12426,1.22,200,1.32
"649","039840","디오",23200,-250,-1.07,1932,12.01,1659,13.98,12629,1.84,0,0
"650","013570","디와이",6510,-60,-0.91,NA,NA,NA,NA,13963,0.47,120,1.84
"651","219550","디와이디",1061,0,0,NA,NA,NA,NA,107,9.92,0,0
"652","310870","디와이씨",1841,-25,-1.34,NA,NA,NA,NA,2008,0.92,0,0
"653","210540","디와이파워",11990,120,1.01,2814,4.26,NA,NA,20476,0.59,300,2.5
"654","104460","디와이피엔에프",45100,-650,-1.42,499,90.38,NA,NA,9939,4.54,100,0.22
"655","079810","디이엔티",16230,450,2.85,62,261.77,1031,15.74,1711,9.49,0,0
"656","113810","디젠스",908,-2,-0.22,115,7.9,NA,NA,518,1.75,0,0
"657","043360","디지아이",3260,-55,-1.66,NA,NA,NA,NA,5102,0.64,0,0
"658","197140","디지캡",5400,130,2.47,9,600,NA,NA,4680,1.15,0,0
"659","068930","디지털대성",6990,-90,-1.27,662,10.56,NA,NA,5502,1.27,300,4.29
"660","033130","디지틀조선",2570,180,7.53,74,34.73,NA,NA,2225,1.16,20,0.78
"661","105740","디케이락",11990,-90,-0.75,1065,11.26,NA,NA,11709,1.02,200,1.67
"662","263020","디케이앤디",3230,-20,-0.62,NA,NA,NA,NA,3477,0.93,50,1.55
"663","290550","디케이티",10000,-60,-0.6,531,18.83,NA,NA,4785,2.09,0,0
"664","187220","디티앤씨",4445,-35,-0.78,NA,NA,NA,NA,7925,0.56,0,0
"665","383930","디티앤씨알오",12560,660,5.55,1122,11.19,NA,NA,3695,3.4,0,0
"666","131180","딜리",1498,-17,-1.12,110,13.62,NA,NA,2057,0.73,40,2.67
"667","315640","딥노이드",11830,-670,-5.36,NA,NA,NA,NA,1468,8.06,0,0
"668","317120","라닉스",6140,-180,-2.85,NA,NA,NA,NA,2002,3.07,0,0
"669","042510","라온시큐어",2630,-55,-2.05,NA,NA,NA,NA,805,3.27,0,0
"670","232680","라온테크",10680,-350,-3.17,504,21.19,NA,NA,1582,6.75,0,0
"671","300120","라온피플",8400,-530,-5.94,NA,NA,NA,NA,2522,3.33,0,0
"672","171120","라이온켐텍",7460,-270,-3.49,475,15.71,NA,NA,6456,1.16,200,2.68
"673","388790","라이콤",2180,-85,-3.75,NA,NA,NA,NA,NA,NA,0,0
"674","069540","라이트론",2775,5,0.18,NA,NA,NA,NA,2142,1.3,0,0
"675","347700","라이프시맨틱스",6500,-160,-2.4,NA,NA,NA,NA,1290,5.04,0,0
"676","214260","라파스",26350,350,1.35,578,45.59,NA,NA,6092,4.33,0,0
"677","115390","락앤락",6500,-120,-1.81,311,20.9,NA,NA,13779,0.47,0,0
"678","200350","래몽래인",21350,-1450,-6.36,465,45.91,NA,NA,7145,2.99,0,0
"679","171010","램테크놀러지",5730,-140,-2.39,237,24.18,NA,NA,3166,1.81,0,0
"680","084650","랩지노믹스",6510,230,3.66,2497,2.61,NA,NA,4747,1.37,300,4.61
"681","217500","러셀",3870,-70,-1.78,213,18.17,NA,NA,1719,2.25,30,0.78
"682","141080","레고켐바이오",38050,-500,-1.3,NA,NA,NA,NA,9497,4.01,0,0
"683","038390","레드캡투어",19390,-330,-1.67,1485,13.06,NA,NA,21711,0.89,800,4.13
"684","294140","레몬",7940,1830,29.95,NA,NA,NA,NA,761,10.43,0,0
"685","228670","레이",28500,250,0.88,NA,NA,1739,16.39,6981,4.08,0,0
"686","228850","레이언스",11910,-220,-1.81,919,12.96,1378,8.64,12746,0.93,100,0.84
"687","412350","레이저쎌",8380,100,1.21,NA,NA,NA,NA,1739,4.82,0,0
"688","281740","레이크머티리얼즈",6190,-170,-2.67,275,22.51,591,10.47,884,7,0,0
"689","277810","레인보우로보틱스",88600,-1600,-1.77,NA,NA,395,224.09,2895,30.6,0,0
"690","215100","로보로보",7120,-30,-0.42,NA,NA,NA,NA,1497,4.76,0,0
"691","090360","로보스타",34100,1400,4.28,168,202.98,NA,NA,8829,3.86,0,0
"692","108490","로보티즈",37600,-50,-0.13,65,578.46,NA,NA,6164,6.1,0,0
"693","067730","로지시스",4400,-55,-1.23,215,20.47,NA,NA,1942,2.27,150,3.41
"694","071280","로체시스템즈",8800,50,0.57,634,13.88,NA,NA,5602,1.57,20,0.23
"695","032350","롯데관광개발",12650,-550,-4.17,NA,NA,NA,NA,811,15.6,0,0
"696","089860","롯데렌탈",26550,-300,-1.12,3687,7.2,3302,8.04,33557,0.79,900,3.39
"697","000400","롯데손해보험",1522,-21,-1.36,379,4.02,NA,NA,3242,0.47,0,0
"698","023530","롯데쇼핑",85300,-1500,-1.73,NA,NA,6258,13.63,356677,0.24,2800,3.28
"699","004000","롯데정밀화학",56500,-2100,-3.58,22986,2.46,11679,4.84,86322,0.65,2300,4.07
"700","286940","롯데정보통신",28700,-1950,-6.36,2291,12.53,2708,10.6,28633,1,700,2.44
"701","280360","롯데제과",117900,-1400,-1.17,5442,21.66,11896,9.91,192466,0.61,1600,1.36
"702","004990","롯데지주",29900,-350,-1.16,4315,6.93,3966,7.54,97570,0.31,1500,5.02
"703","00499K","롯데지주우",39800,-350,-0.87,NA,NA,NA,NA,NA,NA,1550,3.89
"704","005300","롯데칠성",164400,-1300,-0.78,13341,12.32,16503,9.96,143885,1.14,3000,1.82
"705","005305","롯데칠성우",72700,-100,-0.14,NA,NA,NA,NA,NA,NA,3005,4.13
"706","011170","롯데케미칼",180100,-5600,-3.02,37395,4.82,8731,20.63,400457,0.45,8300,4.61
"707","071840","롯데하이마트",12970,-140,-1.07,NA,NA,NA,NA,78984,0.16,1000,7.71
"708","328130","루닛",44500,-2900,-6.12,NA,NA,NA,NA,187,237.97,0,0
"709","038060","루멘스",1265,5,0.4,NA,NA,NA,NA,1568,0.81,0,0
"710","085370","루트로닉",25650,1100,4.48,1096,23.4,1946,13.18,4715,5.44,192,0.75
"711","08537M","루트로닉3우C",36000,1500,4.35,NA,NA,NA,NA,NA,NA,302,0.84
"712","060240","룽투코리아",2710,30,1.12,NA,NA,NA,NA,2583,1.05,0,0
"713","058470","리노공업",140200,-7600,-5.14,6839,20.5,8742,16.04,27518,5.09,2500,1.78
"714","039980","리노스",1103,-40,-3.5,23,47.96,NA,NA,1604,0.69,0,0
"715","019570","리더스 기술투자",372,0,0,NA,NA,NA,NA,397,0.94,0,0
"716","016100","리더스코스메틱",3715,-85,-2.24,NA,NA,NA,NA,3039,1.22,0,0
"717","012700","리드코프",7480,-50,-0.66,1570,4.76,NA,NA,16788,0.45,800,10.7
"718","302550","리메드",13980,20,0.14,123,113.66,NA,NA,4259,3.28,0,0
"719","377450","리파인",8950,270,3.11,1230,7.28,NA,NA,7964,1.12,0,0
"720","277070","린드먼아시아",8500,-230,-2.63,398,21.36,NA,NA,4011,2.12,42,0.49
"721","042500","링네트",5520,-220,-3.83,674,8.19,NA,NA,5940,0.93,0,0
"722","219420","링크제니시스",7280,60,0.83,394,18.48,NA,NA,3532,2.06,0,0
"723","027740","마니커",1411,-9,-0.63,NA,NA,NA,NA,745,1.89,0,0
"724","195500","마니커에프앤지",3510,-105,-2.9,NA,NA,NA,NA,4090,0.86,0,0
"725","305090","마이크로디지탈",5150,-20,-0.39,NA,NA,NA,NA,817,6.3,0,0
"726","098120","마이크로컨텍솔",5940,-160,-2.62,904,6.57,NA,NA,5012,1.19,30,0.51
"727","147760","마이크로프랜드",4985,-65,-1.29,726,6.87,NA,NA,5148,0.97,0,0
"728","377480","마인즈랩",23850,-200,-0.83,389,61.31,NA,NA,4928,4.84,0,0
"729","038290","마크로젠",20600,-250,-1.2,114,180.7,NA,NA,20290,1.02,300,1.46
"730","001080","만호제강",50200,-1000,-1.95,2168,23.15,NA,NA,79971,0.63,250,0.5
"731","267980","매일유업",50000,0,0,9820,5.09,7849,6.37,67256,0.74,1200,2.4
"732","005990","매일홀딩스",8830,-10,-0.11,3575,2.47,NA,NA,26268,0.34,150,1.7
"733","093520","매커스",10500,-210,-1.96,2076,5.06,1595,6.58,6623,1.59,120,1.14
"734","377030","맥스트",14370,-340,-2.31,NA,NA,NA,NA,869,16.54,0,0
"735","100590","머큐리",6330,-70,-1.09,383,16.53,517,12.24,5858,1.08,0,0
"736","067280","멀티캠퍼스",37650,-50,-0.13,3439,10.95,NA,NA,23142,1.63,600,1.59
"737","072870","메가스터디",11850,80,0.68,2145,5.52,NA,NA,25244,0.47,600,5.06
"738","215200","메가스터디교육",66000,-1500,-2.22,6893,9.57,11202,5.89,28762,2.29,2000,3.03
"739","133750","메가엠디",3015,-100,-3.21,301,10.02,NA,NA,3017,1,150,4.98
"740","235980","메드팩토",19120,-440,-2.25,NA,NA,NA,NA,2089,9.15,0,0
"741","041920","메디아나",5260,40,0.77,550,9.56,NA,NA,4936,1.07,27,0.51
"742","014100","메디앙스",4680,345,7.96,378,12.38,NA,NA,8055,0.58,0,0
"743","054180","메디콕스",1465,6,0.41,NA,NA,NA,NA,3504,0.42,0,0
"744","086900","메디톡스",224500,-1500,-0.66,14716,15.26,6790,33.06,57905,3.88,0,0
"745","078160","메디포스트",15190,-390,-2.5,NA,NA,NA,NA,9878,1.54,0,0
"746","065650","메디프론",1488,-30,-1.98,NA,NA,NA,NA,970,1.53,0,0
"747","138040","메리츠금융지주",41800,-300,-0.71,5932,7.05,NA,NA,29591,1.41,210,0.5
"748","008560","메리츠증권",6620,10,0.15,1201,5.51,NA,NA,8360,0.79,100,1.51
"749","408920","메쎄이상",2835,-160,-5.34,NA,NA,NA,NA,NA,NA,0,0
"750","021880","메이슨캐피탈",331,-9,-2.65,NA,NA,NA,NA,374,0.89,0,0
"751","140410","메지온",15670,-490,-3.03,NA,NA,NA,NA,2355,6.65,0,0
"752","241770","메카로",11100,-190,-1.68,816,13.6,NA,NA,15088,0.74,160,1.44
"753","090370","메타랩스",3285,-50,-1.5,NA,NA,NA,NA,3520,0.93,0,0
"754","059210","메타바이오메드",2540,-75,-2.87,422,6.02,NA,NA,2547,1,20,0.79
"755","058110","멕아이씨에스",4165,-145,-3.36,607,6.86,NA,NA,4528,0.92,83,1.99
"756","096640","멜파스",1495,0,0,NA,NA,NA,NA,986,1.52,0,0
"757","017180","명문제약",2725,0,0,NA,NA,NA,NA,2374,1.15,0,0
"758","257370","명성티엔에스",9210,0,0,NA,NA,NA,NA,3306,2.79,0,0
"759","009900","명신산업",20150,-350,-1.71,956,21.08,2872,7.02,5662,3.56,0,0
"760","012690","모나리자",3095,35,1.14,89,34.78,NA,NA,2058,1.5,0,0
"761","005360","모나미",3630,-10,-0.27,827,4.39,NA,NA,5405,0.67,100,2.75
"762","080420","모다이노칩",3760,145,4.01,144,26.11,NA,NA,4454,0.84,0,0
"763","417970","모델솔루션",21850,-300,-1.35,1391,15.71,NA,NA,4963,4.4,0,0
"764","080160","모두투어",20000,-200,-0.99,1012,19.76,886,22.57,4007,4.99,0,0
"765","087260","모바일어플라이언스",3310,-30,-0.9,77,42.99,NA,NA,1347,2.46,0,0
"766","101330","모베이스",3465,-65,-1.84,249,13.92,NA,NA,12025,0.29,0,0
"767","012860","모베이스전자",1621,-3,-0.18,131,12.37,NA,NA,2596,0.62,0,0
"768","363260","모비데이즈",1278,48,3.9,NA,NA,NA,NA,NA,NA,0,0
"769","348030","모비릭스",12590,-350,-2.7,1083,11.63,NA,NA,7911,1.59,0,0
"770","250060","모비스",2015,-10,-0.49,NA,NA,NA,NA,933,2.16,0,0
"771","288980","모아데이타",5080,40,0.79,57,89.12,NA,NA,707,7.19,0,0
"772","033200","모아텍",5660,-110,-1.91,NA,NA,NA,NA,7713,0.73,0,0
"773","333050","모코엠시스",1722,-78,-4.33,NA,NA,134,12.84,NA,NA,0,0
"774","009680","모토닉",9000,-50,-0.55,548,16.42,NA,NA,19169,0.47,400,4.44
"775","118990","모트렉스",19560,730,3.88,504,38.81,2077,9.42,5680,3.44,0,0
"776","006920","모헨즈",4135,-80,-1.9,NA,NA,NA,NA,2111,1.96,0,0
"777","009580","무림P&P",3980,-50,-1.24,298,13.36,1120,3.55,9788,0.41,125,3.14
"778","001810","무림SP",2635,-25,-0.94,190,13.87,NA,NA,9520,0.28,25,0.95
"779","009200","무림페이퍼",2605,-5,-0.19,NA,NA,NA,NA,9473,0.27,25,0.96
"780","033920","무학",5370,-80,-1.47,NA,NA,NA,NA,18822,0.29,230,4.28
"781","008420","문배철강",3665,-80,-2.14,1295,2.83,NA,NA,7298,0.5,75,2.05
"782","279600","미디어젠",12840,-60,-0.47,34,377.65,NA,NA,3785,3.39,0,0
"783","095500","미래나노텍",30150,5700,23.31,940,32.07,NA,NA,8392,3.59,100,0.33
"784","254490","미래반도체",16600,-690,-3.99,1376,12.06,NA,NA,3647,4.55,0,0
"785","025560","미래산업",18220,20,0.11,1843,9.89,NA,NA,19102,0.95,0,0
"786","218150","미래생명자원",4270,-15,-0.35,64,66.72,NA,NA,1854,2.3,0,0
"787","007120","미래아이앤지",378,-10,-2.58,NA,NA,NA,NA,552,0.68,0,0
"788","353490","미래에셋대우스팩 5호",2035,0,0,NA,NA,NA,NA,NA,NA,0,0
"789","100790","미래에셋벤처투자",6050,-30,-0.49,1660,3.64,NA,NA,5131,1.18,83,1.37
"790","412930","미래에셋비전스팩1호",2120,-10,-0.47,NA,NA,NA,NA,NA,NA,0,0
"791","446190","미래에셋비전스팩2호",2075,15,0.73,NA,NA,NA,NA,NA,NA,0,0
"792","085620","미래에셋생명",2740,-25,-0.9,604,4.54,467,5.87,14579,0.19,100,3.65
"793","006800","미래에셋증권",6830,-110,-1.59,1803,3.79,906,7.54,16780,0.41,300,4.39
"794","00680K","미래에셋증권2우B",3655,-20,-0.54,NA,NA,NA,NA,NA,NA,300,8.21
"795","006805","미래에셋증권우",4225,-35,-0.82,NA,NA,NA,NA,NA,NA,330,7.81
"796","049950","미래컴퍼니",38550,-700,-1.78,817,47.18,NA,NA,13221,2.92,100,0.26
"797","207760","미스터블루",2880,-90,-3.03,91,31.65,NA,NA,879,3.28,25,0.87
"798","002840","미원상사",180800,-200,-0.11,11641,15.53,NA,NA,59795,3.02,6000,3.32
"799","268280","미원에스씨",142900,400,0.28,15897,8.99,NA,NA,65109,2.19,2100,1.47
"800","107590","미원홀딩스",101400,-300,-0.29,14308,7.09,NA,NA,87327,1.16,500,0.49
"801","134380","미원화학",64500,200,0.31,5571,11.58,NA,NA,58718,1.1,2500,3.88
"802","003650","미창석유",69700,-900,-1.27,21903,3.18,NA,NA,199594,0.35,2500,3.59
"803","059090","미코",12140,-620,-4.86,NA,NA,NA,NA,6192,1.96,70,0.58
"804","214610","미코바이오메드",3680,-25,-0.67,NA,NA,NA,NA,2857,1.29,0,0
"805","201490","미투온",3985,-60,-1.48,293,13.6,NA,NA,3262,1.22,0,0
"806","206640","바디텍메드",12000,-50,-0.41,1937,6.2,NA,NA,6688,1.79,200,1.67
"807","018700","바른손",2640,-50,-1.86,559,4.72,NA,NA,2171,1.22,0,0
"808","035620","바른손이앤에이",905,-15,-1.63,122,7.42,NA,NA,1485,0.61,0,0
"809","053030","바이넥스",10310,-360,-3.37,614,16.79,508,20.31,5834,1.77,0,0
"810","301300","바이브컴퍼니",28500,-1500,-5,NA,NA,NA,NA,5853,4.87,0,0
"811","377740","바이오노트",7300,-160,-2.14,7232,1.01,NA,NA,13602,0.54,534,7.32
"812","064550","바이오니아",49200,-1100,-2.19,1073,45.85,NA,NA,7867,6.25,0,0
"813","314930","바이오다인",28550,3000,11.74,NA,NA,NA,NA,6546,4.36,0,0
"814","208710","바이오로그디바이스",947,-14,-1.46,NA,NA,NA,NA,1195,0.79,0,0
"815","086820","바이오솔루션",11780,-170,-1.42,NA,NA,NA,NA,5635,2.09,0,0
"816","038460","바이오스마트",3640,250,7.37,73,49.86,NA,NA,5162,0.71,0,0
"817","251120","바이오에프디엔씨",16150,-400,-2.42,394,40.99,601,26.88,2148,7.52,0,0
"818","199730","바이오인프라",26400,-1950,-6.88,1510,17.48,1580,16.71,2632,10.03,0,0
"819","086040","바이오톡스텍",8970,-150,-1.64,487,18.42,NA,NA,2811,3.19,0,0
"820","099430","바이오플러스",7180,-190,-2.58,206,34.85,467,15.37,1406,5.11,0,0
"821","032980","바이온",1022,-29,-2.76,NA,NA,NA,NA,996,1.03,0,0
"822","222160","바이옵트로",5500,-170,-3,60,91.67,NA,NA,2907,1.89,0,0
"823","308080","바이젠셀",7030,-170,-2.36,NA,NA,NA,NA,5565,1.26,0,0
"824","043150","바텍",32450,-600,-1.82,3449,9.41,4889,6.64,18394,1.76,100,0.31
"825","323990","박셀바이오",34000,-500,-1.45,NA,NA,NA,NA,1976,17.21,0,0
"826","003610","방림",7180,0,0,191,37.59,NA,NA,5145,1.4,45,0.63
"827","267790","배럴",8720,-30,-0.34,NA,NA,NA,NA,4611,1.89,0,0
"828","001340","백광산업",5450,-120,-2.15,337,16.17,NA,NA,4293,1.27,50,0.92
"829","046310","백금T&A",3645,-40,-1.09,354,10.3,NA,NA,2638,1.38,0,0
"830","035150","백산",9020,-150,-1.64,797,11.32,NA,NA,6016,1.5,100,1.11
"831","331520","밸로프",1352,-56,-3.98,NA,NA,NA,NA,NA,NA,0,0
"832","066410","버킷스튜디오",1153,0,0,1217,0.95,NA,NA,2485,0.46,0,0
"833","002410","범양건영",3145,-115,-3.53,194,16.21,NA,NA,3456,0.91,0,0
"834","382900","범한퓨얼셀",28850,-800,-2.7,617,46.76,716,40.28,3756,7.68,0,0
"835","206400","베노홀딩스",2670,-75,-2.73,367,7.28,NA,NA,3105,0.86,0,0
"836","019010","베뉴지",2235,-25,-1.11,1036,2.16,NA,NA,7537,0.3,30,1.34
"837","177350","베셀",4695,-100,-2.09,718,6.54,NA,NA,3268,1.44,0,0
"838","299910","베스파",3165,0,0,NA,NA,NA,NA,NA,NA,0,0
"839","007210","벽산",2270,-35,-1.52,NA,NA,NA,NA,4049,0.56,10,0.44
"840","225530","보광산업",6440,-60,-0.92,269,23.94,NA,NA,2321,2.77,150,2.33
"841","250000","보라티알",10680,-200,-1.84,955,11.18,NA,NA,9223,1.16,200,1.87
"842","002760","보락",1690,-24,-1.4,28,60.36,NA,NA,760,2.22,5,0.3
"843","003850","보령",8940,-140,-1.54,689,12.98,571,15.65,7192,1.24,100,1.12
"844","310210","보로노이",32050,2150,7.19,NA,NA,NA,NA,634,50.55,0,0
"845","006910","보성파워텍",4110,95,2.37,NA,NA,NA,NA,1872,2.2,0,0
"846","000890","보해양조",630,-13,-2.02,NA,NA,NA,NA,611,1.03,0,0
"847","226340","본느",1691,-46,-2.65,NA,NA,NA,NA,730,2.32,0,0
"848","003000","부광약품",8180,-210,-2.5,NA,NA,NA,NA,3938,2.08,100,1.22
"849","001270","부국증권",20400,-200,-0.97,8672,2.35,NA,NA,74017,0.28,1600,7.84
"850","001275","부국증권우",18840,-50,-0.26,NA,NA,NA,NA,NA,NA,1650,8.76
"851","026940","부국철강",3630,-70,-1.89,440,8.25,NA,NA,6021,0.6,75,2.07
"852","014470","부방",2720,170,6.67,NA,NA,NA,NA,2920,0.93,0,0
"853","011390","부산산업",71600,-1700,-2.32,NA,NA,NA,NA,52585,1.36,250,0.35
"854","005030","부산주공",496,5,1.02,NA,NA,NA,NA,351,1.41,0,0
"855","008470","부스타",5170,0,0,280,18.46,NA,NA,9871,0.52,60,1.16
"856","338220","뷰노",14120,110,0.79,NA,NA,NA,NA,2016,7,0,0
"857","100120","뷰웍스",31550,-550,-1.71,3575,8.83,4144,7.61,20479,1.54,750,2.38
"858","337930","브랜드엑스코퍼레이션",5640,-100,-1.74,267,21.12,NA,NA,2324,2.43,100,1.77
"859","099390","브레인즈컴퍼니",10120,-380,-3.62,655,15.45,NA,NA,4960,2.04,120,1.19
"860","064480","브리지텍",12380,-370,-2.9,245,50.53,NA,NA,3458,3.58,120,0.97
"861","288330","브릿지바이오테라퓨틱스",8900,-30,-0.34,NA,NA,NA,NA,2184,4.08,0,0
"862","365900","브이씨",8380,-210,-2.44,1251,6.7,NA,NA,5468,1.53,0,0
"863","251630","브이원텍",8900,20,0.23,818,10.88,NA,NA,6700,1.33,100,1.12
"864","018290","브이티지엠피",5570,-50,-0.89,456,12.21,NA,NA,2368,2.35,0,0
"865","044480","블레이드 Ent",1304,-15,-1.14,NA,NA,NA,NA,1430,0.91,0,0
"866","033560","블루콤",4720,-115,-2.38,4,1180,NA,NA,9373,0.5,5,0.11
"867","369370","블리츠웨이",2055,-35,-1.67,NA,NA,NA,NA,458,4.49,0,0
"868","126340","비나텍",45400,650,1.45,1351,33.6,NA,NA,8971,5.06,0,0
"869","121800","비덴트",3505,-125,-3.44,4876,0.72,NA,NA,12509,0.28,0,0
"870","148140","비디아이",640,0,0,NA,NA,NA,NA,262,2.44,0,0
"871","082800","비보존 제약",1155,-85,-6.85,NA,NA,NA,NA,501,2.31,0,0
"872","318410","비비씨",9290,-40,-0.43,635,14.63,NA,NA,12802,0.73,0,0
"873","002070","비비안",1335,-21,-1.55,NA,NA,NA,NA,3466,0.39,0,0
"874","100220","비상교육",6300,-40,-0.63,494,12.75,NA,NA,16316,0.39,220,3.49
"875","419540","비스토스",3170,225,7.64,NA,NA,NA,NA,NA,NA,0,0
"876","146320","비씨엔씨",17370,50,0.29,810,21.44,NA,NA,3042,5.71,0,0
"877","200780","비씨월드제약",7780,50,0.65,360,21.61,NA,NA,12219,0.64,100,1.29
"878","141000","비아트론",10140,-80,-0.78,1175,8.63,NA,NA,13359,0.76,100,0.99
"879","090460","비에이치",25200,700,2.86,2630,9.58,3511,7.18,13066,1.93,250,0.99
"880","083650","비에이치아이",6530,350,5.66,NA,NA,NA,NA,2475,2.64,0,0
"881","032790","비엔지티",3510,-90,-2.5,266,13.2,NA,NA,1508,2.33,0,0
"882","445360","비엔케이제1호스팩",2035,-20,-0.97,NA,NA,NA,NA,NA,NA,0,0
"883","142760","비엘",4360,-195,-4.28,NA,NA,NA,NA,1475,2.96,0,0
"884","065170","비엘팜텍",590,-17,-2.8,NA,NA,NA,NA,657,0.9,0,0
"885","086670","비엠티",14060,-180,-1.26,707,19.89,NA,NA,9941,1.41,150,1.07
"886","335890","비올",5130,-70,-1.35,80,64.13,342,15,463,11.08,0,0
"887","138580","비즈니스온",8970,-320,-3.44,261,34.37,NA,NA,2830,3.17,200,2.23
"888","082920","비츠로셀",15180,0,0,796,19.07,1582,9.6,7827,1.94,150,0.99
"889","054220","비츠로시스",799,-15,-1.84,173,4.62,NA,NA,444,1.8,0,0
"890","042370","비츠로테크",7350,40,0.55,500,14.7,NA,NA,7930,0.93,50,0.68
"891","030790","비케이탑스",904,0,0,NA,NA,NA,NA,333,2.71,0,0
"892","050090","비케이홀딩스",392,70,21.74,NA,NA,NA,NA,318,1.23,0,0
"893","307870","비투엔",2225,-70,-3.05,NA,NA,NA,NA,602,3.7,0,0
"894","357880","비트나인",11760,-650,-5.24,140,84,NA,NA,3227,3.64,0,0
"895","032850","비트컴퓨터",6890,-210,-2.96,294,23.44,NA,NA,3566,1.93,61,0.89
"896","148780","비플라이소프트",1379,-52,-3.63,NA,NA,NA,NA,88,15.67,0,0
"897","238200","비피도",8250,-100,-1.2,551,14.97,NA,NA,6191,1.33,0,0
"898","093190","빅솔론",7040,-200,-2.76,1594,4.42,NA,NA,10580,0.67,250,3.55
"899","065450","빅텍",5620,-20,-0.35,184,30.54,NA,NA,2034,2.76,30,0.53
"900","005180","빙그레",42250,350,0.84,NA,NA,3198,13.21,63095,0.67,1400,3.31
"901","072950","빛샘전자",6270,-130,-2.03,676,9.28,NA,NA,10695,0.59,100,1.59
"902","143240","사람인에이치알",25200,-250,-0.98,2902,8.68,NA,NA,13729,1.84,600,2.38
"903","003960","사조대림",25400,-400,-1.55,8528,2.98,NA,NA,57550,0.44,300,1.18
"904","008040","사조동아원",1005,22,2.24,18,55.83,NA,NA,1617,0.62,0,0
"905","007160","사조산업",43850,-1300,-2.88,9031,4.86,NA,NA,90026,0.49,300,0.68
"906","014710","사조씨푸드",5550,-70,-1.25,572,9.7,NA,NA,13357,0.42,60,1.08
"907","006090","사조오양",8230,-60,-0.72,1674,4.92,NA,NA,20876,0.39,200,2.43
"908","419120","산돌",14920,-170,-1.13,88,169.55,NA,NA,3052,4.89,2476,16.6
"909","122350","삼기",3395,-90,-2.58,NA,NA,NA,NA,3677,0.92,30,0.88
"910","419050","삼기이브이",19780,-770,-3.75,NA,NA,1080,18.32,2976,6.65,0,0
"911","014970","삼륭물산",5180,-10,-0.19,NA,NA,NA,NA,4184,1.24,75,1.45
"912","018310","삼목에스폼",15600,-360,-2.26,2432,6.41,NA,NA,29100,0.54,100,0.64
"913","053700","삼보모터스",5820,-140,-2.35,728,7.99,NA,NA,12923,0.45,50,0.86
"914","009620","삼보산업",958,0,0,NA,NA,NA,NA,666,1.44,0,0
"915","023600","삼보판지",10210,-50,-0.49,3327,3.07,NA,NA,27697,0.37,175,1.71
"916","001470","삼부토건",1275,-11,-0.86,59,21.61,NA,NA,1670,0.76,0,0
"917","006400","삼성SDI",754000,-39000,-4.92,17492,43.11,31657,23.82,219885,3.43,1000,0.13
"918","006405","삼성SDI우",340500,-10500,-2.99,NA,NA,NA,NA,NA,NA,1050,0.31
"919","006660","삼성공조",11220,-310,-2.69,NA,NA,NA,NA,27193,0.41,80,0.71
