"","Price"
"2015-03-30",619392
"2015-03-31",599302
"2015-04-01",619392
"2015-04-02",594344
"2015-04-03",589297
"2015-04-06",589297
"2015-04-07",591870
"2015-04-08",611870
"2015-04-09",599302
"2015-04-10",554156
"2015-04-13",544249
"2015-04-14",546634
"2015-04-15",529108
"2015-04-16",524070
"2015-04-17",534155
"2015-04-20",529108
"2015-04-21",534155
"2015-04-22",539202
"2015-04-23",566822
"2015-04-24",576729
"2015-04-27",589297
"2015-04-28",574343
"2015-04-29",574343
"2015-04-30",584250
"2015-05-04",589297
"2015-05-06",584250
"2015-05-07",581776
"2015-05-08",566822
"2015-05-11",571771
"2015-05-12",574343
"2015-05-13",581776
"2015-05-14",579390
"2015-05-15",611870
"2015-05-18",609485
"2015-05-19",616917
"2015-05-20",586823
"2015-05-21",561775
"2015-05-22",566822
"2015-05-26",569208
"2015-05-27",561775
"2015-05-28",539202
"2015-05-29",539202
"2015-06-01",519112
"2015-06-02",549296
"2015-06-03",546634
"2015-06-04",559203
"2015-06-05",551681
"2015-06-08",539202
"2015-06-09",549296
"2015-06-10",546634
"2015-06-11",549296
"2015-06-12",561775
"2015-06-15",566822
"2015-06-16",561775
"2015-06-17",554156
"2015-06-18",534155
"2015-06-19",544249
"2015-06-22",521685
"2015-06-23",551681
"2015-06-24",559203
"2015-06-25",566822
"2015-06-26",549296
"2015-06-29",521685
"2015-06-30",544249
"2015-07-01",581776
"2015-07-02",631960
"2015-07-03",639482
"2015-07-06",654533
"2015-07-07",611870
"2015-07-08",634444
"2015-07-09",709676
"2015-07-10",697196
"2015-07-13",709676
"2015-07-14",744808
"2015-07-15",759860
"2015-07-16",787471
"2015-07-17",832618
"2015-07-20",850135
"2015-07-21",832618
"2015-07-22",807570
"2015-07-23",820049
"2015-07-24",777475
"2015-07-27",792518
"2015-07-28",764907
"2015-07-29",777475
"2015-07-30",777475
"2015-07-31",699671
"2015-08-03",719770
"2015-08-04",737287
"2015-08-05",737287
"2015-08-06",739770
"2015-08-07",739770
"2015-08-10",699671
"2015-08-11",699671
"2015-08-12",712239
"2015-08-13",707192
"2015-08-17",772428
"2015-08-18",762433
"2015-08-19",739770
"2015-08-20",727291
"2015-08-21",727291
"2015-08-24",704718
"2015-08-25",724719
"2015-08-26",734812
"2015-08-27",732240
"2015-08-28",749855
"2015-08-31",792518
"2015-09-01",817566
"2015-09-02",850135
"2015-09-03",820049
"2015-09-04",769954
"2015-09-07",759860
"2015-09-08",787471
"2015-09-09",795002
"2015-09-10",800049
"2015-09-11",830045
"2015-09-14",815091
"2015-09-15",815091
"2015-09-16",817566
"2015-09-17",800049
"2015-09-18",825096
"2015-09-21",852708
"2015-09-22",822613
"2015-09-23",789955
"2015-09-24",797476
"2015-09-25",795002
"2015-09-30",797476
"2015-10-01",810045
"2015-10-02",827571
"2015-10-05",825096
"2015-10-06",802523
"2015-10-07",782433
"2015-10-08",757386
"2015-10-12",782433
"2015-10-13",772428
"2015-10-14",732240
"2015-10-15",752339
"2015-10-16",729766
"2015-10-19",707192
"2015-10-20",752339
"2015-10-21",729766
"2015-10-22",732240
"2015-10-23",732240
"2015-10-26",747292
"2015-10-27",727291
"2015-10-28",734812
"2015-10-29",722244
"2015-10-30",707192
"2015-11-02",709676
"2015-11-03",724719
"2015-11-04",739770
"2015-11-05",757386
"2015-11-06",749855
"2015-11-09",747292
"2015-11-10",759860
"2015-11-11",772428
"2015-11-12",739770
"2015-11-13",714723
"2015-11-16",662055
"2015-11-17",692149
"2015-11-18",689675
"2015-11-19",712239
"2015-11-20",769954
"2015-11-23",777475
"2015-11-24",789955
"2015-11-25",802523
"2015-11-26",797476
"2015-11-27",757386
"2015-11-30",795002
"2015-12-01",804998
"2015-12-02",777475
"2015-12-03",762433
"2015-12-04",739770
"2015-12-07",779950
"2015-12-08",747292
"2015-12-09",764907
"2015-12-10",769954
"2015-12-11",802523
"2015-12-14",742334
"2015-12-15",774903
"2015-12-16",759860
"2015-12-17",784997
"2015-12-18",782433
"2015-12-21",782433
"2015-12-22",784997
"2015-12-23",764907
"2015-12-24",754902
"2015-12-28",757386
"2015-12-29",757386
"2015-12-30",787471
"2016-01-04",769954
"2016-01-05",782433
"2016-01-06",762433
"2016-01-07",739770
"2016-01-08",749855
"2016-01-11",717197
"2016-01-12",724719
"2016-01-13",734812
"2016-01-14",709676
"2016-01-15",692149
"2016-01-18",677107
"2016-01-19",674623
"2016-01-20",679581
"2016-01-21",654533
"2016-01-22",662055
"2016-01-25",687103
"2016-01-26",669576
"2016-01-27",682145
"2016-01-28",687103
"2016-01-29",679581
"2016-02-01",669576
"2016-02-02",674623
"2016-02-03",654533
"2016-02-04",679581
"2016-02-05",704718
"2016-02-11",657008
"2016-02-12",586823
"2016-02-15",614345
"2016-02-16",619392
"2016-02-17",596917
"2016-02-18",614345
"2016-02-19",667102
"2016-02-22",677107
"2016-02-23",689675
"2016-02-24",734812
"2016-02-25",744808
"2016-02-26",739770
"2016-02-29",732240
"2016-03-02",759860
"2016-03-03",774903
"2016-03-04",752339
"2016-03-07",767382
"2016-03-08",749855
"2016-03-09",752339
"2016-03-10",749855
"2016-03-11",729766
"2016-03-14",722244
"2016-03-15",709676
"2016-03-16",697196
"2016-03-17",744808
"2016-03-18",747292
"2016-03-21",717197
"2016-03-22",712239
"2016-03-23",712239
"2016-03-24",707192
"2016-03-25",702145
"2016-03-28",697196
"2016-03-29",697196
"2016-03-30",659580
"2016-03-31",664529
"2016-04-01",664529
"2016-04-04",662055
"2016-04-05",674623
"2016-04-06",679581
"2016-04-07",694624
"2016-04-08",682145
"2016-04-11",664529
"2016-04-12",672060
"2016-04-14",677107
"2016-04-15",669576
"2016-04-18",659580
"2016-04-19",704718
"2016-04-20",699671
"2016-04-21",702145
"2016-04-22",724719
"2016-04-25",749855
"2016-04-26",734812
"2016-04-27",702145
"2016-04-28",709676
"2016-04-29",724719
"2016-05-02",709676
"2016-05-03",702145
"2016-05-04",687103
"2016-05-09",682145
"2016-05-10",684628
"2016-05-11",702145
"2016-05-12",709676
"2016-05-13",682145
"2016-05-16",641965
"2016-05-17",611870
"2016-05-18",574343
"2016-05-19",564250
"2016-05-20",579390
"2016-05-23",586823
"2016-05-24",571771
"2016-05-25",574343
"2016-05-26",556817
"2016-05-27",526634
"2016-05-30",536727
"2016-05-31",561775
"2016-06-01",561775
"2016-06-02",559203
"2016-06-03",561775
"2016-06-07",566822
"2016-06-08",586823
"2016-06-09",579390
"2016-06-10",559203
"2016-06-13",569208
"2016-06-14",566822
"2016-06-15",574343
"2016-06-16",561775
"2016-06-17",546634
"2016-06-20",544249
"2016-06-21",536727
"2016-06-22",544249
"2016-06-23",519112
"2016-06-24",475443
"2016-06-27",469017
"2016-06-28",480027
"2016-06-29",506633
"2016-06-30",514154
"2016-07-01",524070
"2016-07-04",531680
"2016-07-05",521685
"2016-07-06",509107
"2016-07-07",511591
"2016-07-08",501586
"2016-07-11",511591
"2016-07-12",516540
"2016-07-13",529108
"2016-07-14",529108
"2016-07-15",524070
"2016-07-18",519112
"2016-07-19",519112
"2016-07-20",524070
"2016-07-21",514154
"2016-07-22",529108
"2016-07-25",531680
"2016-07-26",521685
"2016-07-27",526634
"2016-07-28",539202
"2016-07-29",531680
"2016-08-01",539202
"2016-08-02",529108
"2016-08-03",531680
"2016-08-04",566822
"2016-08-05",564250
"2016-08-08",551681
"2016-08-09",521685
"2016-08-10",524070
"2016-08-11",519112
"2016-08-12",516540
"2016-08-16",549296
"2016-08-17",531680
"2016-08-18",516540
"2016-08-19",526634
"2016-08-22",511591
"2016-08-23",514154
"2016-08-24",511591
"2016-08-25",509107
"2016-08-26",506633
"2016-08-29",495533
"2016-08-30",501586
"2016-08-31",493975
"2016-09-01",480027
"2016-09-02",469934
"2016-09-05",469934
"2016-09-06",486543
"2016-09-07",492044
"2016-09-08",492044
"2016-09-09",475443
"2016-09-12",465438
"2016-09-13",471491
"2016-09-19",471954
"2016-09-20",464433
"2016-09-21",472960
"2016-09-22",497091
"2016-09-23",486080
"2016-09-26",488466
"2016-09-27",480481
"2016-09-28",487549
"2016-09-29",489569
"2016-09-30",477001
"2016-10-04",478559
"2016-10-05",474980
"2016-10-06",482502
"2016-10-07",471954
"2016-10-10",460392
"2016-10-11",466444
"2016-10-12",462412
"2016-10-13",458923
"2016-10-14",471491
"2016-10-17",466996
"2016-10-18",462964
"2016-10-19",460943
"2016-10-20",455443
"2016-10-21",454891
"2016-10-24",436902
"2016-10-25",422776
"2016-10-26",425900
"2016-10-27",433421
"2016-10-28",421770
"2016-10-31",401769
"2016-11-01",405712
"2016-11-02",393144
"2016-11-03",407270
"2016-11-04",407822
"2016-11-07",419749
"2016-11-08",422776
"2016-11-09",398734
"2016-11-10",415806
"2016-11-11",419749
"2016-11-14",377175
"2016-11-15",374612
"2016-11-16",375155
"2016-11-17",379748
"2016-11-18",371674
"2016-11-21",351576
"2016-11-22",358643
"2016-11-23",351576
"2016-11-24",335527
"2016-11-25",338553
"2016-11-28",341028
"2016-11-29",367633
"2016-11-30",371674
"2016-12-01",373143
"2016-12-02",365159
"2016-12-05",354059
"2016-12-06",357085
"2016-12-07",351576
"2016-12-08",353142
"2016-12-09",365613
"2016-12-12",374149
"2016-12-13",377727
"2016-12-14",376623
"2016-12-15",377175
"2016-12-16",376169
"2016-12-19",371122
"2016-12-20",371122
"2016-12-21",379196
"2016-12-22",379196
"2016-12-23",402775
"2016-12-26",392681
"2016-12-27",383237
"2016-12-28",386165
"2016-12-29",404243
"2017-01-02",408738
"2017-01-03",409290
"2017-01-04",414239
"2017-01-05",413323
"2017-01-06",403327
"2017-01-09",398734
"2017-01-10",391675
"2017-01-11",396259
"2017-01-12",439839
"2017-01-13",447823
"2017-01-16",435344
"2017-01-17",454428
"2017-01-18",450939
"2017-01-19",440854
"2017-01-20",423879
"2017-01-23",421307
"2017-01-24",430297
"2017-01-25",426354
"2017-01-26",441859
"2017-01-31",439385
"2017-02-01",450485
"2017-02-02",434338
"2017-02-03",416812
"2017-02-06",405712
"2017-02-07",407270
"2017-02-08",407270
"2017-02-09",415806
"2017-02-10",408276
"2017-02-13",399748
"2017-02-14",402312
"2017-02-15",415806
"2017-02-16",409744
"2017-02-17",411311
"2017-02-20",411765
"2017-02-21",409744
"2017-02-22",438922
"2017-02-23",431401
"2017-02-24",418832
"2017-02-27",418832
"2017-02-28",413323
"2017-03-02",434338
"2017-03-03",426354
"2017-03-06",426817
"2017-03-07",431864
"2017-03-08",436359
"2017-03-09",426354
"2017-03-10",427271
"2017-03-13",436359
"2017-03-14",433875
"2017-03-15",426817
"2017-03-16",424333
"2017-03-17",420390
"2017-03-20",417729
"2017-03-21",397274
"2017-03-22",382133
"2017-03-23",379196
"2017-03-24",371674
"2017-03-27",365159
"2017-03-28",330569
"2017-03-29",332590
"2017-03-30",329011
"2017-03-31",324516
"2017-04-03",333044
"2017-04-04",338553
"2017-04-05",342586
"2017-04-06",353142
"2017-04-07",357085
"2017-04-10",350116
"2017-04-11",350570
"2017-04-12",338553
"2017-04-13",350116
"2017-04-14",344152
"2017-04-17",350570
"2017-04-18",356623
"2017-04-19",354976
"2017-04-20",353872
"2017-04-21",349564
"2017-04-24",340298
"2017-04-25",340939
"2017-04-26",346351
"2017-04-27",348460
"2017-04-28",330658
"2017-05-02",327356
"2017-05-04",334975
"2017-05-08",337085
"2017-05-10",331210
"2017-05-11",351211
"2017-05-12",341945
"2017-05-15",333417
"2017-05-16",323137
"2017-05-17",313871
"2017-05-18",310105
"2017-05-19",311209
"2017-05-22",318731
"2017-05-23",313408
"2017-05-24",313408
"2017-05-25",311761
"2017-05-26",309562
"2017-05-29",313408
"2017-05-30",297724
"2017-05-31",286348
"2017-06-01",291208
"2017-06-02",318731
"2017-06-05",345247
"2017-06-07",340939
"2017-06-08",338731
"2017-06-09",351211
"2017-06-12",360112
"2017-06-13",349929
"2017-06-14",371763
"2017-06-15",369013
"2017-06-16",370571
"2017-06-19",364153
"2017-06-20",351949
"2017-06-21",328548
"2017-06-22",314787
"2017-06-23",327267
"2017-06-26",317173
"2017-06-27",307453
"2017-06-28",296166
"2017-06-29",304605
"2017-06-30",302584
"2017-07-03",303875
"2017-07-04",292953
"2017-07-05",297724
"2017-07-06",289651
"2017-07-07",287265
"2017-07-10",269009
"2017-07-11",268635
"2017-07-12",259743
"2017-07-13",254874
"2017-07-14",257357
"2017-07-17",256530
"2017-07-18",259369
"2017-07-19",269009
"2017-07-20",266624
"2017-07-21",266988
"2017-07-24",264603
"2017-07-25",259743
"2017-07-26",255248
"2017-07-27",270291
"2017-07-28",260108
"2017-07-31",254874
"2017-08-01",257722
"2017-08-02",268635
"2017-08-03",257722
"2017-08-04",259369
"2017-08-07",263775
"2017-08-08",262128
"2017-08-09",256530
"2017-08-10",251207
"2017-08-11",242306
"2017-08-14",240285
"2017-08-16",247994
"2017-08-17",249649
"2017-08-18",249186
"2017-08-21",244780
"2017-08-22",244780
"2017-08-23",249186
"2017-08-24",258915
"2017-08-25",257722
"2017-08-28",257722
"2017-08-29",258915
"2017-08-30",264140
"2017-08-31",258915
"2017-09-01",264140
"2017-09-04",261755
"2017-09-05",258087
"2017-09-06",254874
"2017-09-07",258550
"2017-09-08",273869
"2017-09-11",276344
"2017-09-12",279192
"2017-09-13",266250
"2017-09-14",262128
"2017-09-15",256895
"2017-09-18",258087
"2017-09-19",251670
"2017-09-20",243587
"2017-09-21",243961
"2017-09-22",231019
"2017-09-25",219279
"2017-09-26",216430
"2017-09-27",218086
"2017-09-28",219279
"2017-09-29",219644
"2017-10-10",218451
"2017-10-11",230565
"2017-10-12",229372
"2017-10-13",225794
"2017-10-16",224512
"2017-10-17",224512
"2017-10-18",224512
"2017-10-19",224512
"2017-10-20",230200
"2017-10-23",235888
"2017-10-24",233405
"2017-10-25",232675
"2017-10-26",225331
"2017-10-27",229007
"2017-10-30",231393
"2017-10-31",229372
"2017-11-01",237081
"2017-11-02",233867
"2017-11-03",232675
"2017-11-06",236707
"2017-11-07",233405
"2017-11-08",231847
"2017-11-09",227352
"2017-11-10",226987
"2017-11-13",176429
"2017-11-14",176429
"2017-11-15",163033
"2017-11-16",167536
"2017-11-17",167074
"2017-11-20",169548
"2017-11-21",165516
"2017-11-22",165516
"2017-11-23",167536
"2017-11-24",172761
"2017-11-27",167901
"2017-11-28",165605
"2017-11-29",161938
"2017-11-30",161475
"2017-12-01",161475
"2017-12-04",162392
"2017-12-05",166522
"2017-12-06",163308
"2017-12-07",159641
"2017-12-08",156428
"2017-12-11",155511
"2017-12-12",186709
"2017-12-13",175236
"2017-12-14",175236
"2017-12-15",171569
"2017-12-18",170652
"2017-12-19",158724
"2017-12-20",144500
"2017-12-21",145417
"2017-12-22",145417
"2017-12-26",145417
"2017-12-27",148631
"2017-12-28",148631
"2018-01-02",140833
"2018-01-03",144500
"2018-01-04",152298
"2018-01-05",146797
"2018-01-08",146334
"2018-01-09",148631
"2018-01-10",149093
"2018-01-11",158262
"2018-01-12",171115
"2018-01-15",166522
"2018-01-16",162855
"2018-01-17",162392
"2018-01-18",158262
"2018-01-19",163771
"2018-01-22",159641
"2018-01-23",150927
"2018-01-24",149547
"2018-01-25",151844
"2018-01-26",154594
"2018-01-29",160558
"2018-01-30",163308
"2018-01-31",172948
"2018-02-01",181200
"2018-02-02",174319
"2018-02-05",163771
"2018-02-06",163308
"2018-02-07",157808
"2018-02-08",163771
"2018-02-09",158724
"2018-02-12",155057
"2018-02-13",158724
"2018-02-14",160558
"2018-02-19",164688
"2018-02-20",161938
"2018-02-21",195886
"2018-02-22",199554
"2018-02-23",204138
"2018-02-26",205971
"2018-02-27",198174
"2018-02-28",203221
"2018-03-02",204138
"2018-03-05",186247
"2018-03-06",187163
"2018-03-07",177995
"2018-03-08",173865
"2018-03-09",180746
"2018-03-12",188997
"2018-03-13",210102
"2018-03-14",201387
"2018-03-15",207351
"2018-03-16",197720
"2018-03-19",204138
"2018-03-20",204138
"2018-03-21",200008
"2018-03-22",204601
"2018-03-23",196340
"2018-03-26",188997
"2018-03-27",184413
"2018-03-28",180746
"2018-03-29",190377
"2018-03-30",195424
"2018-04-02",191294
"2018-04-03",190840
"2018-04-04",184413
"2018-04-05",185793
"2018-04-06",184413
"2018-04-09",184876
"2018-04-10",181200
"2018-04-11",188543
"2018-04-12",186709
"2018-04-13",184413
"2018-04-16",195424
"2018-04-17",200008
"2018-04-18",194507
"2018-04-19",187163
"2018-04-20",189460
"2018-04-23",181663
"2018-04-24",182579
"2018-04-25",185330
"2018-04-26",169272
"2018-04-27",172948
"2018-04-30",172948
"2018-05-02",172948
"2018-05-03",172948
"2018-05-04",172948
"2018-05-08",172948
"2018-05-09",172948
